Seed Lot ID,Scientific name,Label name (as written),Common name EN,Common name DE,Common name PT,Family,Status,Germination priority,Viability status,Estimated seed count,Count accuracy,Seeds sown,Seeds remaining,Collection / acquisition date,Seed lot origin,Source type,Storage method,Storage temperature,Estimated sow-by date,Pretreatment needed,Germination instructions,Adult plant image source,Species notes,Label transcription,Confidence,Research / source notes,Wikipedia title,Wikipedia
SBC-SEED-0021,Phyllanthus acidus,Star gooseberry,Star gooseberry / Otaheite gooseberry,Sternstachelbeere / Otaheite-Stachelbeere,groselha-de-taiti / groselha-estrelada,Phyllanthaceae,Stored,★★★★★ Urgent,Fresh / small seed lot; test soon rather than archiving blindly,9,Exact user count,0,9,05/2026,Martinique,Travel collection; fruit/tree source not yet specified,Clean and dry seed lot; keep cool and dry with desiccant if available. Avoid condensation and heat.,"Cool, dry, stable room temperature.",Test a small batch in 2026; do not assume long storage viability for this small tropical fruit seed lot.,Uncertain; soak 12–24h in warm water before sowing. Avoid aggressive scarification unless seed coat is clearly hard and impermeable.,"Because there are only 9 seeds, start with 2–3 seeds first. Sow warm in a free-draining tropical seed mix at 24–30°C; keep evenly moist but not waterlogged.","Use app fallback or curated Wikimedia/Wikidata image of adult Phyllanthus acidus, fruit and habit, not packet photo.",Tropical fruit tree/shrub producing acidic ribbed yellow-green fruits; greenhouse/container only in Heiligenhaus. Interesting edible/ethnobotanical species.,"User supplied: “9 seeds, Star gooseberry, 05/2026, Martinique.”",Medium-high: scientific name inferred from common name “star gooseberry”; seed count exact from user.,Star gooseberry is commonly treated as Phyllanthus acidus; verify if a more specific local ID becomes available.,Phyllanthus acidus,https://en.wikipedia.org/wiki/Phyllanthus_acidus
SBC-SEED-0022,Spondias purpurea,Spondias purpurea,Purple mombin / jocote / Spanish plum,Rote Mombinpflaume / Jocote,seriguela / ciriguela,Anacardiaceae,Stored,★★★★★ Urgent,Fresh / tropical fruit seed; test soon rather than archiving long-term,19,Exact user count,0,19,05/2026,Martinique,Travel collection; fruit/tree source not yet specified,Dry labelled packet; keep cool and dry with desiccant if available. Avoid condensation and heat.,"Cool, dry, stable room temperature.",Test a small batch in 2026; do not assume long storage viability for this tropical fruit seed lot.,Uncertain; clean any fruit residue if present. Soak 12–24h in warm water before sowing; consider light scarification only if the endocarp/seed coat is very hard.,"Because there are 19 seeds, test 4–6 first. Sow warm in a free-draining tropical seed mix at 24–30°C; keep evenly moist but not waterlogged. Germination may be slow/irregular.","Use app fallback or curated Wikimedia/Wikidata image of adult Spondias purpurea, fruit and habit, not packet photo.","Tropical fruit tree in Anacardiaceae, grown for edible plum-like fruits. Greenhouse/container only in Heiligenhaus; potential ethnobotanical/fruit-tree interest.",User supplied: “19 seeds; Spondias purpurea; Martinique 05/2026.”,High for user-supplied scientific name and exact seed count.,Typo corrected by user; record now uses Spondias purpurea consistently.,Spondias purpurea,https://en.wikipedia.org/wiki/Spondias_purpurea
SBC-SEED-0023,Albizia lebbeck,Albizia lebbeck,Lebbeck tree / woman’s tongue tree / siris tree,Lebbeckbaum / Sirisbaum,albízia / árvore-da-mulher-língua,Fabaceae,Stored,★★ Low,Fresh / likely good if kept dry; hard-coated legume seed,Unknown,Unknown; user did not provide count,0,Unknown,05/2026,Sint Maarten,Travel collection; tree source not yet specified,Dry labelled packet; keep cool and dry with desiccant if available. Avoid condensation and heat.,"Cool, dry, stable room temperature.","Test batch in 2026–2027; hard-coated legume seed may store, but viability should be checked.","Likely scarification or nicking plus 12–24h warm-water soak, as for many hard-coated Fabaceae seeds.","Once count is known, test a small batch first. Scarify/nick a few seeds, soak in warm water 12–24h, then sow warm in a free-draining seed mix at 24–30°C; keep lightly moist, not soggy.","Use app fallback or curated Wikimedia/Wikidata image of adult Albizia lebbeck, flowers/pods and habit, not packet photo.","Tropical/subtropical Fabaceae tree with fragrant pale flowers and flat pods; large tree, greenhouse/container experiment only in Heiligenhaus unless treated as temporary/tropical bonsai material.",User supplied: “Albizia lebbeck; St Maarten 05/2026.” Origin normalized to Sint Maarten.,High for user-supplied scientific name and date/origin; count unknown.,Hard-coated legume seed handling inferred cautiously from Fabaceae behaviour; verify species-specific details later before public release.,Albizia lebbeck,https://en.wikipedia.org/wiki/Albizia_lebbeck
SBC-SEED-0024,Tabebuia rosea,Pink trumpet,Pink trumpet tree / rosy trumpet tree,Rosa Trompetenbaum,ipê-rosa / pau-d’arco-rosa,Bignoniaceae,Stored,★★★★★ Urgent,Fresh / sow or test soon; winged Bignoniaceae tree seeds may not be ideal for long storage,>100,Approximate user estimate; large batch,0,>100,05/2026,Martinique,Travel collection; tree source not yet specified,"Dry labelled packet; keep cool and very dry with desiccant if available. Avoid heat, humidity and condensation.","Cool, dry, stable room temperature.",Test a batch in 2026; do not rely on long-term storage without viability testing.,Usually none; soak briefly only if seeds appear very dry. Avoid heavy scarification for thin winged seeds.,"Test 10–20 seeds first. Sow shallowly in a warm, free-draining seed mix at 24–30°C; cover lightly or press onto surface and keep evenly moist, not wet. Provide bright light after germination.","Use app fallback or curated Wikimedia/Wikidata image of adult Tabebuia rosea / pink trumpet tree in flower, not packet photo.","Pink-flowering tropical Bignoniaceae tree; excellent ornamental/tree interest, but not hardy in Heiligenhaus. Scientific ID inferred from common name; verify if packet/photo gives a more exact name.",User supplied: “Pink trumpet; Martinique 05/2026; over 100 seeds.”,Medium: scientific name inferred from common name “pink trumpet”; seed count approximate.,"Pink trumpet tree is commonly applied to Tabebuia rosea, but verify against any packet label or source tree if available.",Tabebuia rosea,https://en.wikipedia.org/wiki/Tabebuia_rosea
SBC-SEED-0025,Jatropha multifida,Coral plant,Coral plant / coralbush,Korallenpflanze / Korallenstrauch,planta-coral / pinhão-coral,Euphorbiaceae,Stored,★★★ Medium,"Unknown; tropical ornamental seed lot, test rather than archive blindly",Unknown,Unknown; user did not provide count,0,Unknown,05/2026,Martinique,Travel collection; ornamental plant source not yet specified,Dry labelled packet; keep cool and dry with desiccant if available. Avoid condensation and heat.,"Cool, dry, stable room temperature.",Test batch in 2026–2027; viability/storage behaviour not yet confirmed for this lot.,Uncertain; try 12–24h warm-water soak before sowing. Avoid aggressive scarification until seed type is confirmed.,"Once count is known, test a small batch first. Sow warm in a free-draining tropical seed mix at 24–30°C; keep evenly moist but not waterlogged. Handle Euphorbiaceae seedlings/sap cautiously.","Use app fallback or curated Wikimedia/Wikidata image of adult Jatropha multifida/coral plant, not packet photo.","Tentatively treated as Jatropha multifida, a tropical ornamental Euphorbiaceae with coral-red inflorescences and deeply lobed leaves. Not hardy in Heiligenhaus; greenhouse/container only. ID should be verified if a label/photo is available.",User supplied: “Coral plant; Martinique 05/2026.”,Medium-low: common name “coral plant” is ambiguous; Jatropha multifida is a likely interpretation but needs confirmation.,Verify species before public release; “coral plant” can refer to more than one ornamental species.,Jatropha multifida,https://en.wikipedia.org/wiki/Jatropha_multifida
SBC-SEED-0026,Spathodea campanulata,Spathodea campanulata - Africa tulip,African tulip tree,Afrikanischer Tulpenbaum,tulipeiro-africano / espatódea,Bignoniaceae,Stored,★★★★ High,Fresh / sow or test soon; winged Bignoniaceae tree seeds may not be ideal for long storage,Unknown,Unknown; packet photo does not show count,0,Unknown,04/2026,"Portsmouth, Dominica",Travel collection; tree source not yet specified,"Dry labelled packet; keep cool and very dry with desiccant if available. Avoid heat, humidity and condensation.","Cool, dry, stable room temperature.",Test a batch in 2026; do not rely on long-term storage without viability testing.,Usually none; avoid heavy scarification for thin winged seeds. Brief warm-water soak only if seeds are very dry.,"Once count is known, test a small batch first. Sow shallowly in a warm, free-draining seed mix at 24–30°C; cover very lightly or press onto surface and keep evenly moist, not wet. Provide bright light after germination.","Use app fallback or curated Wikimedia/Wikidata image of adult Spathodea campanulata / African tulip tree in flower, not packet photo.","Large tropical Bignoniaceae tree with striking orange-red flowers. Not hardy in Heiligenhaus; greenhouse/container experiment only, and invasive potential should be flagged carefully in public notes.",Photo label: “Spathodea campanulata - Africa tulip; 04/2026; Portsmouth - Dominica.”,High: scientific name and provenance are written on the label; count unknown.,Bignoniaceae winged seed handling inferred cautiously; verify species-specific viability later before public release.,Spathodea campanulata,https://en.wikipedia.org/wiki/Spathodea_campanulata
SBC-SEED-0027,Agastache foeniculum,Anis hysope / Anise Hyssop / Anís Hisopo / Anis hisopo,Anise hyssop,Anis-Ysop / Duftnessel,agastache-anisada / hissopo-anisado,Lamiaceae,Stored,★★ Low,Commercial packet; likely fine if kept dry. Packet appears valid until 03/2028.,Many / commercial 1 g packet,Packet/user estimate; exact count not independently verified,0,Many / commercial 1 g packet,Unknown; packet validity appears 03/2028,Commercial seed packet — Tropica / TECHNISEM,Commercial seed packet,"Keep cool and dry, ideally in original labelled packet with desiccant.","Cool, dry, stable room temperature.",See viability note; test batch before committing the whole lot.,See germination instructions.,Sow a small test batch first; adjust by species after results.,"Adult plant image should come from Wikimedia/Wikidata/Wikipedia/Commons fallback, not packet photo.",Aromatic Lamiaceae perennial/short-lived perennial; good pollinator/herb plant.,Anis hysope / Anise Hyssop / Anís Hisopo / Anis hisopo,High where packet/scientific label is present; otherwise marked by common-name inference in notes.,Added from user-provided packet photos / notes.,Agastache foeniculum,https://en.wikipedia.org/wiki/Agastache_foeniculum
SBC-SEED-0028,Solanum lycopersicum 'Costoluto Fiorentino',Tomate Costoluto Fiorentino,Tomato ‘Costoluto Fiorentino’,Tomate ‘Costoluto Fiorentino’,tomate ‘Costoluto Fiorentino’,Solanaceae,Stored,★★ Low,Commercial packet; likely fine if kept dry. Packet appears valid until 08/2029.,Many / commercial 0.4 g packet,Packet/user estimate; exact count not independently verified,0,Many / commercial 0.4 g packet,Unknown; packet validity appears 08/2029,Commercial seed packet — Tropica / TECHNISEM,Commercial seed packet,"Keep cool and dry, ideally in original labelled packet with desiccant.","Cool, dry, stable room temperature.",See viability note; test batch before committing the whole lot.,See germination instructions.,Sow a small test batch first; adjust by species after results.,"Adult plant image should come from Wikimedia/Wikidata/Wikipedia/Commons fallback, not packet photo.",Ribbed Italian tomato cultivar; practical food-garden/greenhouse crop.,Tomate Costoluto Fiorentino,High where packet/scientific label is present; otherwise marked by common-name inference in notes.,Added from user-provided packet photos / notes.,Tomato,https://en.wikipedia.org/wiki/Tomato
SBC-SEED-0029,Cucumis anguria,Ti’concombre Pico / West Indian gherkin / pepino de las Antillas / maxixe,West Indian gherkin / burr gherkin,Westindische Gurke / Stachelgurke,maxixe / pepino-das-antilhas,Cucurbitaceae,Stored,★★ Low,Commercial packet; likely fine if kept dry. Packet appears valid until 07/2029.,Many / commercial 2 g packet,Packet/user estimate; exact count not independently verified,0,Many / commercial 2 g packet,Unknown; packet validity appears 07/2029,Commercial seed packet — Tropica / TECHNISEM,Commercial seed packet,"Keep cool and dry, ideally in original labelled packet with desiccant.","Cool, dry, stable room temperature.",See viability note; test batch before committing the whole lot.,See germination instructions.,Sow a small test batch first; adjust by species after results.,"Adult plant image should come from Wikimedia/Wikidata/Wikipedia/Commons fallback, not packet photo.",Tropical cucurbit grown for small spiny edible fruits; needs warmth.,Ti’concombre Pico / West Indian gherkin / pepino de las Antillas / maxixe,High where packet/scientific label is present; otherwise marked by common-name inference in notes.,Added from user-provided packet photos / notes.,Cucumis anguria,https://en.wikipedia.org/wiki/Cucumis_anguria
SBC-SEED-0030,Passiflora ligularis,Fruit de la passion Maracuja / Passion fruit / Maracuyá / Maracujá,Sweet granadilla / passion fruit,Süße Granadilla,granadilha-doce / maracujá-doce,Passifloraceae,Stored,★★ Low,Commercial packet; likely fine if kept dry. Packet appears valid until 10/2029.,Many / commercial 0.5 g packet,Packet/user estimate; exact count not independently verified,0,Many / commercial 0.5 g packet,Unknown; packet validity appears 10/2029,Commercial seed packet — Tropica / TECHNISEM,Commercial seed packet,"Keep cool and dry, ideally in original labelled packet with desiccant.","Cool, dry, stable room temperature.",See viability note; test batch before committing the whole lot.,See germination instructions.,Sow a small test batch first; adjust by species after results.,"Adult plant image should come from Wikimedia/Wikidata/Wikipedia/Commons fallback, not packet photo.","Tropical passionfruit relative; needs warmth, support and greenhouse conditions.",Fruit de la passion Maracuja / Passion fruit / Maracuyá / Maracujá,High where packet/scientific label is present; otherwise marked by common-name inference in notes.,Added from user-provided packet photos / notes.,Passiflora ligularis,https://en.wikipedia.org/wiki/Passiflora_ligularis
SBC-SEED-0031,Carica papaya 'Solo No. 8',Papaye Solo N°8 / Papaya / Mamão,Papaya ‘Solo No. 8’,Papaya ‘Solo No. 8’,mamão ‘Solo No. 8’ / papaia,Caricaceae,Stored,★★ Low,Commercial packet; likely fine if kept dry. Packet appears valid until 01/2029.,Many / commercial packet; quantity marking unclear,Packet/user estimate; exact count not independently verified,0,Many / commercial packet; quantity marking unclear,Unknown; packet validity appears 01/2029,Commercial seed packet — Tropica / TECHNISEM,Commercial seed packet,"Keep cool and dry, ideally in original labelled packet with desiccant.","Cool, dry, stable room temperature.",See viability note; test batch before committing the whole lot.,See germination instructions.,Sow a small test batch first; adjust by species after results.,"Adult plant image should come from Wikimedia/Wikidata/Wikipedia/Commons fallback, not packet photo.",Fast-growing tropical fruit plant; greenhouse/container experiment only in Heiligenhaus.,Papaye Solo N°8 / Papaya / Mamão,High where packet/scientific label is present; otherwise marked by common-name inference in notes.,Added from user-provided packet photos / notes.,Papaya,https://en.wikipedia.org/wiki/Papaya
SBC-SEED-0032,Thymus serpyllum,Tomilho / Thymus serpyllum,Wild thyme / creeping thyme,Sand-Thymian / Feld-Thymian,tomilho-serpão / tomilho-silvestre,Lamiaceae,Stored,★★★★★ Urgent,Aging but likely still worth testing; packet packed 11/2023 and expiry shown as 2026.,Many / commercial 0.5 g packet,Packet/user estimate; exact count not independently verified,0,Many / commercial 0.5 g packet,Packed 11/2023; expiry 2026,"Commercial seed packet — NaturaSementes, Portugal",Commercial seed packet,"Keep cool and dry, ideally in original labelled packet with desiccant.","Cool, dry, stable room temperature.",See viability note; test batch before committing the whole lot.,See germination instructions.,Sow a small test batch first; adjust by species after results.,"Adult plant image should come from Wikimedia/Wikidata/Wikipedia/Commons fallback, not packet photo.","Low aromatic thyme useful for dry sunny beds, pollinators and groundcover.",Tomilho / Thymus serpyllum,High where packet/scientific label is present; otherwise marked by common-name inference in notes.,Added from user-provided packet photos / notes.,Thymus serpyllum,https://en.wikipedia.org/wiki/Thymus_serpyllum
SBC-SEED-0033,Coriandrum sativum,Coentros / cilantro / coriandre / coriander,Coriander / cilantro,Koriander,coentros,Apiaceae,Stored,★★ Low,Commercial packet; likely still good if kept dry. Packet packed 06/2024 and expiry shown as 2027.,Many / commercial 16 g packet,Packet/user estimate; exact count not independently verified,0,Many / commercial 16 g packet,Packed 06/2024; expiry 2027,"Commercial seed packet — NaturaSementes, Portugal",Commercial seed packet,"Keep cool and dry, ideally in original labelled packet with desiccant.","Cool, dry, stable room temperature.",See viability note; test batch before committing the whole lot.,See germination instructions.,Sow a small test batch first; adjust by species after results.,"Adult plant image should come from Wikimedia/Wikidata/Wikipedia/Commons fallback, not packet photo.",Edible annual herb; sow cool-season successions.,Coentros / cilantro / coriandre / coriander,High where packet/scientific label is present; otherwise marked by common-name inference in notes.,Added from user-provided packet photos / notes.,Coriandrum sativum,https://en.wikipedia.org/wiki/Coriandrum_sativum
SBC-SEED-0034,Coriandrum sativum,Coentros - Cilantro,Coriander / cilantro,Koriander,coentros,Apiaceae,Stored,★★ Low,Organic commercial packet; likely good if kept dry. Packet validity shown as 2027.,Many / commercial 4 g packet,Packet/user estimate; exact count not independently verified,0,Many / commercial 4 g packet,Lot/packing appears 27-05-24; validity 2027,"Commercial organic seed packet — Sementes Vivas, Portugal",Commercial organic seed packet,"Keep cool and dry, ideally in original labelled packet with desiccant.","Cool, dry, stable room temperature.",See viability note; test batch before committing the whole lot.,See germination instructions.,Sow a small test batch first; adjust by species after results.,"Adult plant image should come from Wikimedia/Wikidata/Wikipedia/Commons fallback, not packet photo.",Separate coriander lot from the NaturaSementes packet because supplier/lot differ.,Coentros - Cilantro,High where packet/scientific label is present; otherwise marked by common-name inference in notes.,Added from user-provided packet photos / notes.,Coriandrum sativum,https://en.wikipedia.org/wiki/Coriandrum_sativum
SBC-SEED-0035,Melissa officinalis,Erva-Cidreira - Melisa,Lemon balm,Zitronenmelisse,erva-cidreira / melissa,Lamiaceae,Stored,★★ Low,Organic commercial packet; likely still good if kept dry. Packet validity shown as 2027.,~1500 / commercial 1 g packet,Packet/user estimate; exact count not independently verified,0,~1500 / commercial 1 g packet,Lot/packing appears 06-02-24; validity 2027,"Commercial organic seed packet — Sementes Vivas, Portugal",Commercial organic seed packet,"Keep cool and dry, ideally in original labelled packet with desiccant.","Cool, dry, stable room temperature.",See viability note; test batch before committing the whole lot.,See germination instructions.,Sow a small test batch first; adjust by species after results.,"Adult plant image should come from Wikimedia/Wikidata/Wikipedia/Commons fallback, not packet photo.",Aromatic perennial herb; suitable for pots and outdoor herb/pollinator beds.,Erva-Cidreira - Melisa,High where packet/scientific label is present; otherwise marked by common-name inference in notes.,Added from user-provided packet photos / notes.,Melissa officinalis,https://en.wikipedia.org/wiki/Melissa_officinalis
