Scientific name,Wishlist ID,Source,Priority,Status,Family,Common name EN,Common name DE,Common name PT,Native origin,Natural habitat,Temperature / hardiness target,Light needs,Humidity,Water needs,Soil / substrate,Recommended substrate mix (%),Winter hardiness in Heiligenhaus,Difficulty,Future location,Rarity in cultivation,Bonsai potential,Invasive potential,Conservation / endangerment level,Pollinators / ecology,Edible / medicinal / ethnobotanical,Seed source / propagation,Where to buy EU/UK,Wikipedia,Kew POWO / source search,Notes,Confidence
Salvia nemorosa 'Caradonna',SBC-WL-0029,"Chelsea Physic Garden, London",★★★,Wishlist,Lamiaceae,Caradonna sage,Steppen-Salbei 'Caradonna',sálvia 'Caradonna',Cultivar; E Europe/W Asia ancestry,Dry meadows/steppe,Hardy,Full sun,Low,Low-moderate,Well-drained,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy outdoors,Easy,Sunny outdoor bed,Common in garden trade,Low,Low,Cultivar / not applicable; assess the wild species separately.,"Likely/known visitors: bumblebees (Bombus terrestris, B. pascuorum), honeybee (Apis mellifera), long-tongued bees (Anthophora spp.), hoverflies (Episyrphus balteatus).",Ornamental,Division/cuttings,Garden centres,https://en.wikipedia.org/wiki/Salvia_nemorosa,https://powo.science.kew.org/results?q=Salvia+nemorosa+%27Caradonna%27,Excellent reliable perennial.,Medium
Salvia × sylvestris 'Schneehügel',SBC-WL-0030,"Chelsea Physic Garden, London",★★★,Wishlist,Lamiaceae,Snow Hill sage,Steppen-Salbei 'Schneehügel',sálvia-branca,Garden hybrid/cultivar,Garden perennial,Hardy,Full sun,Low,Low-moderate,Well-drained,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy outdoors,Easy,Sunny outdoor bed,Common in garden trade,Low,Low,Cultivar / not applicable; assess the wild species separately.,"Likely/known visitors: bumblebees (Bombus terrestris, B. pascuorum), honeybee (Apis mellifera), long-tongued bees (Anthophora spp.), hoverflies (Episyrphus balteatus).",Ornamental,Division/cuttings,Garden centres,https://en.wikipedia.org/wiki/Salvia_sylvestris,https://powo.science.kew.org/results?q=Salvia+%C3%97+sylvestris+%27Schneeh%C3%BCgel%27,White-flowered salvia cultivar.,Medium
Pelargonium graveolens 'Attar of Roses',SBC-WL-0031,"Chelsea Physic Garden, London",★★★★,Wishlist,Geraniaceae,Rose-scented geranium,Duftgeranie 'Attar of Roses',gerânio-cheiroso,South African ancestry; cultivar,Dry rocky scrub ancestry,Frost-free,Full sun/bright,Low-medium,Moderate,Free-draining potting mix,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,"Container, overwinter frost-free",Easy,Pots / terrace,Uncommon / specialist nurseries,Medium,Low,Cultivar / not applicable; assess the wild species separately.,"Likely generalist insects: honeybee (Apis mellifera), bumblebees (Bombus spp.), solitary bees and hoverflies; exact pollinators need verification.",Fragrant leaves; perfume/culinary flavouring,Cuttings,"Herb nurseries, pelargonium specialists",https://en.wikipedia.org/wiki/Pelargonium_graveolens,https://powo.science.kew.org/results?q=Pelargonium+graveolens+%27Attar+of+Roses%27,High fragrance value.,Medium
Heliotropium arborescens,SBC-WL-0032,"Chelsea Physic Garden, London",★★★★,Wishlist,Boraginaceae,Garden heliotrope,Vanilleblume,heliotrópio,Peru,Subtropical shrublands,Frost-free,Full sun to part shade,Medium,Moderate,Fertile moist well-drained,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Annual/container in Germany,Easy,Pots / terrace,Common in garden trade,Medium,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bumblebees (Bombus spp.), honeybee (Apis mellifera), solitary bees (Anthophora plumipes, Osmia spp.), hoverflies (Syrphidae).",Fragrant ornamental; toxic if eaten,Cuttings/seed,Garden centres,https://en.wikipedia.org/wiki/Heliotropium_arborescens,https://powo.science.kew.org/results?q=Heliotropium+arborescens,Strong vanilla/cherry-pie scent.,Medium
Acanthus mollis,SBC-WL-0033,"Chelsea Physic Garden, London",★★★★,Wishlist,Acanthaceae,Bear's breeches,Weicher Akanthus,acanto,Mediterranean,"Woodland edges, rocky slopes",Hardy/marginal in cold sites,Sun to part shade,Low-medium,Moderate,Deep fertile well-drained,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy in sheltered Heiligenhaus,Easy,Shady outdoor bed,Common in garden trade,Low,Can spread locally by roots,Not evaluated / no global threat flag recorded in this catalogue.,Likely/known visitors: bees and in native ranges birds; Acanthus visited by large bees including Bombus spp.,"Architectural, classical ornament motif; medicinal history",Division/seed,Garden centres,https://en.wikipedia.org/wiki/Acanthus_mollis,https://powo.science.kew.org/results?q=Acanthus+mollis,Big architectural leaves.,Medium
Rosa × odorata 'Bengal Crimson',SBC-WL-0034,"Chelsea Physic Garden, London",★★★★,Wishlist,Rosaceae,Bengal Crimson China rose,China-Rose 'Bengal Crimson',roseira-chinesa 'Bengal Crimson',Garden cultivar; China rose ancestry,Cultivated old rose,Hardy but sheltered best,Full sun,Medium,Moderate,Fertile loam,50% garden loam/topsoil; 25% compost; 15% grit; 10% leaf mould/fine bark. Adjust drainage to site conditions.,"Outdoor rose, protect exposed sites",Medium,Sunny outdoor bed,Uncommon / specialist nurseries,Medium,Low,Cultivar / not applicable; assess the wild species separately.,"Likely/known visitors: honeybee (Apis mellifera), bumblebees (Bombus terrestris, B. pascuorum), solitary bees (Andrena spp., Osmia bicornis), hoverflies (Episyrphus balteatus), pollen beetles (Meligethes spp.).",Ornamental; rose hips sometimes edible but cultivar not for crop,Cuttings/grafted plants,Old rose specialists,https://en.wikipedia.org/wiki/Rosa_odorata,https://powo.science.kew.org/results?q=Rosa+%C3%97+odorata+%27Bengal+Crimson%27,Historic repeat-flowering China rose.,Medium
Rosa glauca,SBC-WL-0035,"Kew Gardens, London",★★★★,Wishlist,Rosaceae,Red-leaved rose,Rotblättrige Rose,rosa-de-folhas-glaucas,Central/Southern Europe,"Open woodland, mountains",Hardy,Full sun,Low-medium,Moderate,Well-drained loam,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy outdoors,Easy,Shady outdoor bed,Uncommon / specialist nurseries,High,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: honeybee (Apis mellifera), bumblebees (Bombus terrestris, B. pascuorum), solitary bees (Andrena spp., Osmia bicornis), hoverflies (Episyrphus balteatus), pollen beetles (Meligethes spp.).",Hips edible/wildlife; ornamental foliage,Seed/cuttings/plants,Rose nurseries,https://en.wikipedia.org/wiki/Rosa_glauca,https://powo.science.kew.org/results?q=Rosa+glauca,Excellent foliage rose.,Medium
Rosa 'New Dawn',SBC-WL-0036,"Kew Gardens, London",★★★,Wishlist,Rosaceae,New Dawn climbing rose,Kletterrose 'New Dawn',roseira-trepadeira 'New Dawn',Cultivar,Garden climber,Hardy,Full sun,Medium,Moderate,Fertile loam,50% garden loam/topsoil; 25% compost; 15% grit; 10% leaf mould/fine bark. Adjust drainage to site conditions.,Hardy outdoors,Easy,Sunny outdoor bed,Cultivar; availability varies by nursery,Low,Low,Cultivar / not applicable; assess the wild species separately.,"Likely/known visitors: honeybee (Apis mellifera), bumblebees (Bombus terrestris, B. pascuorum), solitary bees (Andrena spp., Osmia bicornis), hoverflies (Episyrphus balteatus), pollen beetles (Meligethes spp.).",Ornamental,Grafted plants/cuttings,Rose nurseries,https://en.wikipedia.org/wiki/Rosa,https://powo.science.kew.org/results?q=Rosa+%27New+Dawn%27,Classic climbing rose.,Medium
Rosa 'Wollerton Old Hall',SBC-WL-0037,"Kew Gardens, London",★★★★,Wishlist,Rosaceae,Wollerton Old Hall rose,Englische Rose 'Wollerton Old Hall',rosa 'Wollerton Old Hall',Cultivar,Garden shrub/climber,Hardy,Full sun,Medium,Moderate,Fertile loam,50% garden loam/topsoil; 25% compost; 15% grit; 10% leaf mould/fine bark. Adjust drainage to site conditions.,Hardy outdoors,Medium,Sunny outdoor bed,Cultivar; availability varies by nursery,Low,Low,Cultivar / not applicable; assess the wild species separately.,"Likely/known visitors: honeybee (Apis mellifera), bumblebees (Bombus terrestris, B. pascuorum), solitary bees (Andrena spp., Osmia bicornis), hoverflies (Episyrphus balteatus), pollen beetles (Meligethes spp.).",Fragrant ornamental,Grafted plants,David Austin/rose nurseries,https://en.wikipedia.org/wiki/Rosa,https://powo.science.kew.org/results?q=Rosa+%27Wollerton+Old+Hall%27,Highly fragrant English rose.,Medium
Castanea sativa,SBC-WL-0038,"Kew Gardens, London",★★★★,Wishlist,Fagaceae,Sweet chestnut,Esskastanie,castanheiro,"SE Europe, W Asia","Woodland, hillsides",Hardy; prefers warmer summers,Full sun,Low-medium,Moderate,"Acidic to neutral, well-drained",50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy outdoors,Medium,Trees & large shrubs,Uncommon / specialist nurseries,Medium,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Wind-pollinated; no animal pollinators. Nuts eaten/dispersed by jays (Garrulus glandarius), rodents (Sciurus vulgaris, Apodemus spp.).",Edible chestnuts; timber,Seed/grafted cultivars,Fruit tree nurseries,https://en.wikipedia.org/wiki/Castanea_sativa,https://powo.science.kew.org/results?q=Castanea+sativa,Large tree; needs space.,Medium
Fraxinus ornus,SBC-WL-0039,"Kew Gardens, London",★★★,Wishlist,Oleaceae,Manna ash,Manna-Esche,freixo-de-maná,"Southern Europe, W Asia","Dry woods, limestone slopes",Hardy; drought tolerant,Sun to part shade,Low,Low-moderate,"Well-drained, calcareous tolerated",50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy outdoors,Easy,Trees & large shrubs,Uncommon / specialist nurseries,Medium,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bees (Apis/Bombus spp.), hoverflies (Syrphidae), small flies.",Manna exudate historically medicinal,Seed/plants,Tree nurseries,https://en.wikipedia.org/wiki/Fraxinus_ornus,https://powo.science.kew.org/results?q=Fraxinus+ornus,Good small flowering ash.,Medium
Cedrus atlantica,SBC-WL-0040,"Kew Gardens, London",★★★★,Wishlist,Pinaceae,Atlas cedar,Atlas-Zeder,cedro-do-atlas,"Atlas Mountains, Morocco/Algeria",Mountain forests,Hardy; drought tolerant established,Full sun,Low,Low-moderate,Deep well-drained soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy outdoors,Easy-medium,Pots / terrace,Uncommon / specialist nurseries,Medium,Low,Not evaluated / no global threat flag recorded in this catalogue.,Wind-pollinated conifer; no animal pollinators.,Timber/aromatic resin tradition,Seed,Tree nurseries,https://en.wikipedia.org/wiki/Cedrus_atlantica,https://powo.science.kew.org/results?q=Cedrus+atlantica,Huge; use with restraint in 1000 m² garden.,Medium
Cupressus cashmeriana,SBC-WL-0041,"Kew Gardens, London",★★★★★,Wishlist,Cupressaceae,Kashmir cypress,Kaschmir-Zypresse,cipreste-da-caxemira,Bhutan/NE India region,Himalayan valleys/cloud forest margins,Mild frost only; wet cold risky,Sun to light shade,Medium,Moderate,Well-drained but not dry,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Greenhouse/courtyard trial only,Hard,Tropical greenhouse,Uncommon / specialist nurseries,High,Low,Endangered / rare in the wild.,Wind-pollinated conifer; no animal pollinators.,Sacred/ornamental conifer,Seed/cuttings rare,Specialist conifer nurseries,https://en.wikipedia.org/wiki/Cupressus_cashmeriana,https://powo.science.kew.org/results?q=Cupressus+cashmeriana,Very beautiful but likely not reliably hardy.,Medium
Punica granatum var. nana,SBC-WL-0042,"Chelsea Physic Garden, London",★★★★,Wishlist,Lythraceae,Dwarf pomegranate,Zwerg-Granatapfel,romãzeira-anã,Mediterranean/W Asia cultivar,Dry rocky slopes/cultivation,Mild frost; container safer,Full sun,Low,Moderate in growth,Well-drained loam/gritty mix,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Container overwinter cool/frost-free,Easy,Sunny outdoor bed,Common in garden trade,High,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bees (Apis/Bombus spp.), hoverflies, butterflies; pomegranate also visited by bees and beetles.",Fruit ornamental/occasionally edible; medicinal tradition,Seed/cuttings,"Garden centres, bonsai nurseries",https://en.wikipedia.org/wiki/Punica_granatum,https://powo.science.kew.org/results?q=Punica+granatum+var.+nana,Good bonsai/container candidate.,Medium
Punica granatum,SBC-WL-0043,"Chelsea Physic Garden, London",★★★★,Wishlist,Lythraceae,Pomegranate,Granatapfel,romãzeira,Iran to N India; Mediterranean cultivated,"Dry scrub, rocky slopes, orchards",Hardy approx. -10°C when established/sheltered,Full sun,Low,Moderate,Well-drained fertile soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Sheltered outdoor trial; container safer,Medium,Sunny outdoor bed,Common in garden trade,High,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bees (Apis/Bombus spp.), hoverflies, butterflies; pomegranate also visited by bees and beetles.",Edible fruit; medicinal/ethnobotanical,Seed/cuttings/grafted cultivars,"Fruit nurseries, garden centres",https://en.wikipedia.org/wiki/Punica_granatum,https://powo.science.kew.org/results?q=Punica+granatum,Choose hardy cultivars for NRW trial.,Medium
Euonymus alatus,SBC-WL-0044,"Chelsea Physic Garden, London",★★★,Wishlist,Celastraceae,Burning bush,Flügel-Spindelstrauch,evónimo-alado,NE Asia,"Woodland edges, thickets",Hardy,Sun to part shade,Medium,Moderate,Ordinary well-drained soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy outdoors,Easy,Shady outdoor bed,Common in garden trade,Medium,Invasive in parts of N America; low concern Europe but monitor,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: flies (Diptera), bees (Apis/Bombus spp.); fruits dispersed by birds.",Ornamental; toxic fruits,Seed/cuttings,Garden centres,https://en.wikipedia.org/wiki/Euonymus_alatus,https://powo.science.kew.org/results?q=Euonymus+alatus,Excellent autumn colour; check local invasiveness.,Medium
Glaucium flavum,SBC-WL-0045,"Chelsea Physic Garden, London",★★★★,Wishlist,Papaveraceae,Yellow horned poppy,Gelber Hornmohn,papoila-cornuda-amarela,Europe/Mediterranean coasts,"Shingle beaches, dunes, dry coasts",Hardy with sharp drainage,Full sun,Low,Low,Poor sandy/gravelly soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy if dry/drained,Easy-medium,Sunny outdoor bed,Uncommon / specialist nurseries,Low,Can self-seed; not usually troublesome,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: pollen-foraging bees (Apis mellifera, Bombus spp., Andrena spp.) and hoverflies (Syrphidae).",Toxic; medicinal alkaloid history,Seed,Seed suppliers,https://en.wikipedia.org/wiki/Glaucium_flavum,https://powo.science.kew.org/results?q=Glaucium+flavum,Great silver foliage and coastal vibe.,Medium
Ebenus cretica,SBC-WL-0046,"Chelsea Physic Garden, London",★★★★,Wishlist,Fabaceae,Cretan ebony,Kretischer Ebenholzstrauch,ébano-de-creta,Crete,Dry rocky limestone slopes,Mild frost; protect wet cold,Full sun,Low,Low,Very well-drained alkaline/gritty soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Borderline; dry cold greenhouse/rock garden trial,Medium-hard,Sunny outdoor bed,Rare collector plant / specialist nurseries,Medium,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bumblebees (Bombus terrestris, B. pascuorum), honeybee (Apis mellifera), solitary bees (Megachile spp., Anthophora spp.).",Ornamental; no major edible use,Seed,Specialist Mediterranean seed/nurseries,https://en.wikipedia.org/wiki/Ebenus_cretica,https://powo.science.kew.org/results?q=Ebenus+cretica,Rare collector Mediterranean legume.,Medium
Solanum laciniatum,SBC-WL-0047,"Chelsea Physic Garden, London",★★★★,Wishlist,Solanaceae,Kangaroo apple,Känguru-Apfel,maçã-canguru,"Australia, New Zealand","Forest margins, disturbed ground",Mild frost only; fast summer shrub,Full sun,Medium,Moderate-high,Fertile well-drained soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Container/greenhouse; summer outdoor,Easy,Pots / terrace,Uncommon / specialist nurseries,Medium,Can be weedy in mild climates; not hardy in NRW,Not evaluated / no global threat flag recorded in this catalogue.,"Buzz-pollinated by bumblebees (Bombus terrestris, B. pascuorum) and other bees capable of vibration pollination.",Toxic unripe; steroid precursor crop history,Seed/cuttings,Seed suppliers,https://en.wikipedia.org/wiki/Solanum_laciniatum,https://powo.science.kew.org/results?q=Solanum+laciniatum,Interesting but handle toxicity carefully.,Medium
Sambucus nigra 'Black Lace',SBC-WL-0048,"Chelsea Physic Garden, London",★★★,Wishlist,Adoxaceae,Black Lace elder,Holunder 'Black Lace',sabugueiro 'Black Lace',Cultivar of European elder,Garden shrub; species hedgerows/woods,Hardy,Sun to part shade,Medium,Moderate,Ordinary fertile soil,50% garden loam/topsoil; 25% compost; 15% grit; 10% leaf mould/fine bark. Adjust drainage to site conditions.,Hardy outdoors,Easy,Sunny outdoor bed,Common in garden trade,Medium,Low,Cultivar / not applicable; assess the wild species separately.,"Likely/known visitors: flies (Diptera), hoverflies (Syrphidae), small bees; berries dispersed by birds.",Flowers/berries edible when properly prepared; medicinal tradition,Cuttings/plants,Garden centres,https://en.wikipedia.org/wiki/Sambucus_nigra,https://powo.science.kew.org/results?q=Sambucus+nigra+%27Black+Lace%27,Beautiful foliage cultivar.,Medium
Calycanthus × raulstonii 'Aphrodite',SBC-WL-0049,"Kew Gardens, London",★★★★,Wishlist,Calycanthaceae,Aphrodite sweetshrub,Gewürzstrauch 'Aphrodite',calicanto 'Aphrodite',Garden hybrid,Garden shrub,Hardy,Sun to part shade,Medium,Moderate,Fertile moist well-drained,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy outdoors,Easy-medium,Sunny outdoor bed,Cultivar; availability varies by nursery,Medium,Low,Cultivar / not applicable; assess the wild species separately.,Likely/known visitors: beetles and small flies; Calycanthus flowers are often beetle-pollinated.,Fragrant ornamental; not edible,Cuttings/plants,Shrub nurseries,https://en.wikipedia.org/wiki/Calycanthus_raulstonii,https://powo.science.kew.org/results?q=Calycanthus+%C3%97+raulstonii+%27Aphrodite%27,"Aromatic ornamental shrub with large, magnolia-like red flowers.",Medium
Lilium martagon,SBC-WL-0050,"Kew Gardens, London",★★★★,Wishlist,Liliaceae,Martagon lily,Türkenbund-Lilie,lírio-martagão,Europe to Asia,Calcareous woodland/meadows,Hardy,Part shade / woodland edge,Medium,Moderate,"Humus-rich well-drained, lime tolerant",50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy outdoors,Medium,Shady outdoor bed,Uncommon / specialist nurseries,Low,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bees (Bombus/Apis spp.), butterflies, and moths including hawkmoths (Sphingidae); verify by species.",Ornamental; not for eating,Bulbs/seed,Bulb specialists,https://en.wikipedia.org/wiki/Lilium_martagon,https://powo.science.kew.org/results?q=Lilium+martagon,Elegant hardy woodland lily.,Medium
Briza media,SBC-WL-0051,"Chelsea Physic Garden, London",★★★,Wishlist,Poaceae,Quaking grass,Zittergras,erva-treme-treme,"Europe, W Asia","Meadows, grasslands",Hardy,Sun,Low,Low-moderate,Poor to average well-drained soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy outdoors,Easy,Sunny outdoor bed,Uncommon / specialist nurseries,None,Low,Not evaluated / no global threat flag recorded in this catalogue.,Wind-pollinated; no animal pollinators. Seeds used by birds and small mammals.,Ornamental/dried flowers,Seed,Seed suppliers,https://en.wikipedia.org/wiki/Briza_media,https://powo.science.kew.org/results?q=Briza+media,Lovely movement.,Medium
Phlomis russeliana,SBC-WL-0052,"Chelsea Physic Garden, London",★★★,Wishlist,Lamiaceae,Turkish sage,Brandkraut,flomis,Turkey/Syria,"Open woodland, dry slopes",Hardy,Sun to part shade,Low,Low-moderate,Well-drained ordinary soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy outdoors,Easy,Shady outdoor bed,Common in garden trade,Low,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bumblebees (Bombus terrestris, B. pascuorum), honeybee (Apis mellifera), long-tongued bees (Anthophora spp.), hoverflies (Episyrphus balteatus).",Ornamental; seed heads architectural,Division/seed,Garden centres,https://en.wikipedia.org/wiki/Phlomis_russeliana,https://powo.science.kew.org/results?q=Phlomis+russeliana,Strong structure and pollinator value.,Medium
Persicaria bistorta,SBC-WL-0053,"Chelsea Physic Garden, London",★★★,Wishlist,Polygonaceae,Bistort,Schlangen-Knöterich,bistorta,Europe/N Asia,"Moist meadows, stream banks",Hardy,Sun to part shade,Medium-high,Moist,Moist fertile soil,45% loam; 30% compost/leaf mould; 15% coir; 10% grit/sand. Moisture-retentive; keep evenly wet in growth.,Hardy outdoors,Easy,Pots / terrace,Uncommon / specialist nurseries,None,Can spread in moist soil,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bees (Apis/Bombus spp.), hoverflies (Syrphidae), flies.",Leaves historically edible/medicinal,Division/seed,Perennial nurseries,https://en.wikipedia.org/wiki/Persicaria_bistorta,https://powo.science.kew.org/results?q=Persicaria+bistorta,Useful in moist naturalistic plantings.,Medium
Fuchsia microphylla,SBC-WL-0054,"Chelsea Physic Garden, London",★★★,Wishlist,Onagraceae,Small-leaved fuchsia,Kleinblättrige Fuchsie,fúcsia-de-folhas-pequenas,"Mexico, Central America",Montane forests/scrub,Mild frost only; overwinter protected,Part shade,Medium-high,Moderate,Fertile well-drained soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Container/cool greenhouse,Medium,Pots / terrace,Uncommon / specialist nurseries,High,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bees (Apis/Bombus spp.), moths including hawkmoths (Sphingidae), butterflies; varies by species.",Edible berries in some fuchsias; ornamental,Cuttings/seed,Fuchsia specialists,https://en.wikipedia.org/wiki/Fuchsia_microphylla,https://powo.science.kew.org/results?q=Fuchsia+microphylla,Good tiny-leaf bonsai candidate.,Medium
Brugmansia suaveolens,SBC-WL-0055,"Chelsea Physic Garden, London",★★★★,Wishlist,Solanaceae,Angel's trumpet,Engelstrompete,trombeta-de-anjo,SE Brazil,Humid forest edges,Frost-free; overwinter cool/bright,Sun to part shade,Medium,High in growth,Rich fertile moisture-retentive soil,35% fine orchid bark; 25% coco coir/peat-free compost; 20% perlite/pumice; 15% mature compost/worm castings; 5% charcoal.,"Container/greenhouse, frost-free",Easy-medium,Pots / terrace,Common in garden trade,Medium,Low in Germany; all parts toxic,Not evaluated / no global threat flag recorded in this catalogue.,"Large nocturnal flowers: hawkmoths (Sphingidae, e.g. Manduca/Agrius spp.) and sometimes bats in native ranges; usually hand/bee-assisted in cultivation.",Highly toxic; ornamental/ethnobotanical caution,Cuttings,"Garden centres, brugmansia specialists",https://en.wikipedia.org/wiki/Brugmansia_suaveolens,https://powo.science.kew.org/results?q=Brugmansia+suaveolens,Spectacular but toxic and large.,Medium
Brugmansia 'Pink Dragon',SBC-WL-0056,"Kew Gardens, London",★★★★,Wishlist,Solanaceae,Pink Dragon angel's trumpet,Engelstrompete 'Pink Dragon',trombeta-de-anjo 'Pink Dragon',Cultivar,Garden cultivar,Frost-free,Sun to part shade,Medium,High in growth,Rich fertile soil,35% fine orchid bark; 25% coco coir/peat-free compost; 20% perlite/pumice; 15% mature compost/worm castings; 5% charcoal.,Container/greenhouse,Medium,Pots / terrace,Uncommon / specialist nurseries,Medium,Low,Cultivar / not applicable; assess the wild species separately.,"Large nocturnal flowers: hawkmoths (Sphingidae, e.g. Manduca/Agrius spp.) and sometimes bats in native ranges; usually hand/bee-assisted in cultivation.",Highly toxic ornamental,Cuttings,Brugmansia specialists,https://en.wikipedia.org/wiki/Brugmansia,https://powo.science.kew.org/results?q=Brugmansia+%27Pink+Dragon%27,Cultivar entry; link URLs use Brugmansia base.,Medium
Utricularia bisquamata 'Betty's Bay',SBC-WL-0057,"Kew Gardens, London",★★★★,Wishlist,Lentibulariaceae,Betty's Bay bladderwort,Wasserschlauch 'Betty's Bay',utriculária 'Betty's Bay',South Africa cultivar/location form,Wet sandy/peaty seeps,Frost-free to cool; avoid hard frost,Bright light,High,Constantly moist with rainwater,Peat/sand carnivorous substrate,40% sphagnum peat or long-fibre sphagnum; 30% silica sand; 20% perlite/pumice; 10% fine orchid bark. Rainwater only; no fertiliser.,Greenhouse/terrarium,Easy,Carnivorous shelf / bog tray,Cultivar; availability varies by nursery,None,Can self-seed in pots,Cultivar / not applicable; assess the wild species separately.,Small insects visit flowers; exact pollinators need verification. Carnivorous traps catch tiny aquatic/soil organisms rather than pollinators.,Carnivorous curiosity,Division/seed,Carnivorous plant nurseries,https://en.wikipedia.org/wiki/Utricularia_bisquamatas,https://powo.science.kew.org/results?q=Utricularia+bisquamata+%27Betty%27s+Bay%27,Small but delightful.,Medium
Anthurium schlechtendalii,SBC-WL-0058,"Kew Gardens, London",★★★★,Wishlist,Araceae,Bird's-nest anthurium,Nest-Anthurie,antúrio-ninho-de-pássaro,Mexico to Central America,Epiphytic/terrestrial tropical forest,18–30°C,Bright shade,High,Moderate,Coarse aroid/epiphyte mix,40% fine orchid bark; 25% coco coir or sphagnum; 20% perlite/pumice; 10% leaf mould/compost; 5% horticultural charcoal.,Greenhouse/indoors only,Medium,Bonsai house / epiphyte wall,Uncommon / specialist nurseries,Low,None,Not evaluated / no global threat flag recorded in this catalogue.,"Likely small bees, beetles and flies; Anthurium pollination varies by species and exact pollinators should be verified.",Ornamental,Seed/division,Specialist aroid nurseries,https://en.wikipedia.org/wiki/Anthurium_schlechtendalii,https://powo.science.kew.org/results?q=Anthurium+schlechtendalii,Majestic species anthurium.,Medium
Xanthosoma sagittifolium,SBC-WL-0059,"Kew Gardens, London",★★★★,Wishlist,Araceae,Cocoyam / tannia,Tannia / Pfeilblatt,taioba / mangarito (varies),Tropical America,Wet tropical forest edges/cultivation,18–32°C; frost-free,Sun to part shade,High,High,Rich wet fertile soil,35% fine orchid bark; 25% coco coir/peat-free compost; 20% perlite/pumice; 15% mature compost/worm castings; 5% charcoal.,Greenhouse/summer crop,Easy,Bonsai house / epiphyte wall,Uncommon / specialist nurseries,Low,Can be invasive in tropics; none in NRW,Not evaluated / no global threat flag recorded in this catalogue.,"Likely generalist insects: honeybee (Apis mellifera), bumblebees (Bombus spp.), solitary bees and hoverflies; exact pollinators need verification.",Edible corms/leaves when properly prepared; oxalates caution,Cormels,"Ethnic groceries, tropical suppliers",https://en.wikipedia.org/wiki/Xanthosoma_sagittifolium,https://powo.science.kew.org/results?q=Xanthosoma+sagittifolium,Caribbean-relevant food crop.,Medium
